hydr_jaar,NOV
1957,541.8999999999999
1958,263.4000000000001
1959,-98.7000000000002
1960,464.69999999999993
1961,392.40000000000003
1962,150.9
1963,267.4999999999999
1964,300.30000000000007
1965,698.1000000000003
1966,570.8
1967,289.6999999999997
1968,375.59999999999985
1969,269.6
1970,279.55000000000007
1971,-40.90000000000002
1972,174.65000000000026
1973,237.1000000000001
1974,477.0500000000002
1975,34.7999999999998
1976,-26.250000000000078
1977,277.34999999999985
1978,185.5
1979,367.79999999999995
1980,448.09999999999997
1981,314.25000000000034
1982,111.55000000000003
1983,320.10000000000014
1984,155.50000000000003
1985,264.29999999999984
1986,147.35000000000016
1987,623.4999999999995
1988,221.25
1989,52.49999999999993
1990,38.45000000000003
1991,187.80000000000015
1992,304.3
1993,475.05000000000024
1994,553.1500000000002
1995,-59.75000000000016
1996,87.79999999999998
1997,287.65
1998,782.5000000000001
1999,296.05
2000,410.9
2001,462.3499999999999
2002,226.9500000000002
2003,114.6500000000001
2004,222.49999999999997
2005,289.65
2006,280.9499999999998
2007,345.95000000000033
2008,238.19999999999996
2009,183.89999999999992
2010,232.7499999999997
2011,274.0000000000001
2012,348.35
2013,254.70000000000027
2014,361.9
2015,264.34999999999974
2016,185.20000000000007
2017,328.70000000000005
2018,-17.599999999999852
2019,-89.74999999999999
